Date	Open	High	Low	Close	Adj Close	Volume
6/21/2023	61.31	61.72	60.98	61.43	59.99	13948700
6/22/2023	61.81	62.1	61.59	61.85	60.4	15193400
6/23/2023	61.94	61.97	61.18	61.2	59.76	25103600
6/26/2023	61.21	61.29	60.39	61.22	59.78	12856100
6/27/2023	61.22	61.36	60.98	61.09	59.65	9068500
6/28/2023	60.88	61.04	60.4	60.52	59.1	11173200
6/29/2023	60.22	60.35	59.77	60.02	58.61	17142300
6/30/2023	60	60.35	59.87	60.22	58.8	19737000
7/3/2023	60.2	60.63	60.03	60.58	59.16	9694500
7/5/2023	60.28	61.1	60.16	61.03	59.59	14716600
7/6/2023	60.73	61.02	60.5	60.56	59.14	12603900
7/7/2023	60.31	60.5	59.73	59.76	58.35	14565500
7/10/2023	59.97	60.15	59.14	59.31	57.92	15480600
7/11/2023	59.46	59.56	58.84	59.52	58.12	15970100
7/12/2023	59.75	60.05	59.45	59.84	58.43	14241300
7/13/2023	60.12	60.46	59.98	60.35	58.93	11269800
7/14/2023	60.14	61.04	60.09	60.9	59.47	11631600
7/17/2023	60.76	61.1	60.49	60.81	59.38	10014300
7/18/2023	60.96	61.25	60.41	60.57	59.15	11152900
7/19/2023	60.77	61.79	60.68	61.64	60.19	12936000
7/20/2023	61.68	62.41	61.67	62.39	60.92	11563000
7/21/2023	62.46	62.68	62.24	62.44	60.97	12813200
7/24/2023	62.42	62.81	62.4	62.46	60.99	10251100
7/25/2023	62.3	62.39	62.05	62.25	60.79	13422700
7/26/2023	61.86	63.17	61.39	63.05	61.57	17145500
7/27/2023	63.05	63.27	62.38	62.44	60.97	11517100
7/28/2023	62.59	62.77	62.22	62.48	61.01	9721800
7/31/2023	62.45	62.45	61.73	61.93	60.47	15577900
8/1/2023	62.09	62.36	61.62	61.77	60.32	9281600
8/2/2023	61.56	62.59	61.56	61.96	60.5	11059400
8/3/2023	61.87	62.12	61.53	61.64	60.19	8037400
8/4/2023	61.68	61.89	60.62	60.71	59.28	9356600
8/7/2023	60.79	61.33	60.74	61.19	59.75	6982600
